doc0: instruments; Archimandrite; Agathocles; anatomy; glutathione; Indic scripts; hydrogen ion; population pyramid; E-mail advertising; maximum transfer; John Philoponus; national average; crime rate; Southeast Asia; always respect; volleyball at; Pope Honorius; Summer Paralympics; body parts; below the national average; 
doc1: defective; multiplication; Lughnasadh; Eta-conversion; corresponds; defective pixels; Lisp programmers; linear maps corresponds; situation could; LCD panel; linear maps corresponds to the matrix; La Tène; Tène sites; administrative districts; mathematical formalism; stylistic influences; important activities; matrix multiplication; my mother; external parasites; 
doc2: Haleakaloha; Oakwood; income; Abilene; median; median income; settlers arrived; Post Office; Presbyterian Church; French Polynesia; sailing ship; Ellis County; School District; capita income; poverty line; household in the CDP; capita income for the CDP; median income for a household; below the poverty; 65 and older; 
doc3: Teacher; Onaping; Entertainment; Massive; School; Massive Entertainment; Essex Senior; Southern League; Native Americans; Senior League; citizen participation; royal blue; Middle School; also released; Southern Division; school newspaper; following fields; 1970–71 season; registered voters; Provincial Park; 
doc4: Homestead; McCotter; entrepreneurial; irresponsible; possession; Homestead Grays; luxury items; tremendous amount; major economic; seven children; grocery store; human side; baseball team; Despite the fact; film industry; wanted to show; 30 January; Her father; order to get; falls in love; 
doc5: creditors; Singida; participatory; meninges; Novotná; life history; problems relating; currently members; fans received; Mansfield Town; club are currently members; client funds; Infantry Regiment; Acumen Fund; reconnaissance mission; Blue Quill; Rockefeller Foundation; resources available; transport services; premiership player; 
doc6: Guadalupe; Mandalorians; Mandalorian; talisman; KKBOX; Sacred Heart; Greco-Roman wrestling; rare metal; International Business; Virginia Commonwealth; Mexican immigrants; television actress; Légion d'honneur; Eastern Orthodox; Cornell University; traction motors; Emerson College; Business School; expanding into; This reflects; 
doc7: Hersheypark; Hershey; Harrisburg; Route�; Linglestown; Hersheypark Drive; Hershey Road; Sayed Murad; Administrative and municipal; east–west state highway; municipal status; usually referred; northern and eastern; referred to locally; Ali Khan; PA� 39; Eden Valley; route passes; succeeded him; popular among; 
doc8: Calabresis; Michael; Sevier; Fat; absorption; great victory; international competition; Fat Tony's; lupus erythematosus; reduce absorption; Minnesota Vikings; National Bureau; members included; hundred thousand; The Conference; renal failure; dairy products; family business; Minnesota Twins; November 1983; 
doc9: push-up; handstand; free-standing; press-up; Evolved; performed free-standing; The Evolved; especially relevant; turned professional; culture continued; The right-hander; generally accepted; relationship between; round before falling; society and culture; native country; twentieth century; denied them; He represented; 1996 Summer Olympics in Atlanta; 
doc10: Jewison; Monkeys; Betting; Pilate; Delaware; Steel Monkeys; Broadway production; Twitter account; Pontius Pilate; Bonneville Salt Flats; The conclusion; he played; announced his retirement; official website; he suggested; starring role; allowing them; some plants; film version; made available; 
